source_department_name,normalized_department_name
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (II)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (III)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (IV)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (V)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (VI)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (VII)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (VIII)","Innere Medizin"
"Innere Medizin/ohne Differenzierung nach Schwerpunkten (X)","Innere Medizin"
"Intensivmedizin","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Chirurgie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Herzchirurgie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Innere Medizin","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Kardiologie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Neurochirurgie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Neurologie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Pädiatrie","Intensivmedizin"
"Intensivmedizin/Schwerpunkt Urologie","Intensivmedizin"
"Intensivmedizin/Thorax-Herzchirurgie","Intensivmedizin"
"Intensivmedizin/ohne Differenzierung nach Schwerpunkten (II)","Intensivmedizin"
"Intensivmedizin/ohne Differenzierung nach Schwerpunkten (III)","Intensivmedizin"
"Intensivmedizin/ohne Differenzierung nach Schwerpunkten (IV)","Intensivmedizin"
"Intensivmedizin/ohne Differenzierung nach Schwerpunkten (V)","Intensivmedizin"
"Kardiologie","Kardiologie"
"Kardiologie/ohne Differenzierung nach Schwerpunkten (II)","Kardiologie"
"Kardiologie/ohne Differenzierung nach Schwerpunkten (III)","Kardiologie"
"Kardiologie/ohne Differenzierung nach Schwerpunkten (IV)","Kardiologie"
"Kinder- und Jugendpsychiatrie/Tagesklinik (für teilstationäre Pflegesätze)","Kinder- und Jugendpsychiatrie"
"Kinderchirurgie","Kinderchirurgie"
"Kinderchirurgie/ohne Differenzierung nach Schwerpunkten (II)","Kinderchirurgie"
"Kinderchirurgie/ohne Differenzierung nach Schwerpunkten (III)","Kinderchirurgie"
"Kinderkardiologie","Kinderkardiologie"
"Kinderkardiologie/Schwerpunkt Intensivmedizin","Kinderkardiologie"
"Lungen- und Bronchialheilkunde","Pneumologie"
"Lungen- und Bronchialheilkunde/ohne Differenzierung nach Schwerpunkten (II)","Pneumologie"
"Neonatologie","Neonatologie"
"Neonatologie/ohne Differenzierung nach Schwerpunkten (II)","Neonatologie"
"Nephrologie","Nephrologie"
"Nephrologie/ohne Differenzierung nach Schwerpunkten (II)","Nephrologie"
"Neurochirurgie","Neurochirurgie"
"Neurochirurgie/ohne Differenzierung nach Schwerpunkten (II)","Neurochirurgie"
"Neurochirurgie/ohne Differenzierung nach Schwerpunkten (III)","Neurochirurgie"
"Neurologie","Neurologie"
"Neurologie/Schwerpunkt Neurologische Frührehabilitation","Neurologie"
"Neurologie/Schwerpunkt Pädiatrie","Neurologie"
"Neurologie/Schwerpunkt Schlaganfallpatienten","Neurologie"
"Neurologie/ohne Differenzierung nach Schwerpunkten (II)","Neurologie"
"Neurologie/ohne Differenzierung nach Schwerpunkten (III)","Neurologie"
"Neurologie/ohne Differenzierung nach Schwerpunkten (IV)","Neurologie"
"Nuklearmedizin","Nuklearmedizin"
"Nuklearmedizin/ohne Differenzierung nach Schwerpunkten (II)","Nuklearmedizin"
"Operative Intensivmedizin/Schwerpunkt Chirurgie","Intensivmedizin"
"Orthopädie","Orthopädie"
"Orthopädie und Unfallchirurgie","Orthopädie und Unfallchirurgie"
"Orthopädie/Schwerpunkt Chirurgie","Orthopädie"
"Orthopädie/Schwerpunkt Rheumatologie","Orthopädie"
"Orthopädie/ohne Differenzierung nach Schwerpunkten (II)","Orthopädie"
"Orthopädie/ohne Differenzierung nach Schwerpunkten (III)","Orthopädie"
"Orthopädie/ohne Differenzierung nach Schwerpunkten (IV)","Orthopädie"
"Orthopädie/ohne Differenzierung nach Schwerpunkten (V)","Orthopädie"
"Palliativmedizin","Palliativmedizin"
"Plastische Chirurgie","Plastische Chirurgie"
"Plastische Chirurgie/ohne Differenzierung nach Schwerpunkten (II)","Plastische Chirurgie"
"Plastische Chirurgie/ohne Differenzierung nach Schwerpunkten (III)","Plastische Chirurgie"
"Plastische Chirurgie/ohne Differenzierung nach Schwerpunkten (IV)","Plastische Chirurgie"
"Pneumologie","Pneumologie"
"Pneumologie/ohne Differenzierung nach Schwerpunkten (II)","Pneumologie"
"Pneumologie/ohne Differenzierung nach Schwerpunkten (III)","Pneumologie"
"Pneumologie/ohne Differenzierung nach Schwerpunkten (IV)","Pneumologie"
"Psychosomatik/Psychotherapie/Tagesklinik (für teilstationäre Pflegesätze)","Psychosomatik"
"Pädiatrie","Pädiatrie"
"Pädiatrie/Schwerpunkt Gastroenterologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Hämatologie und internistische Onkologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Kinderkardiologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Kinderneurologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Lungen- und Bronchialheilkunde","Pädiatrie"
"Pädiatrie/Schwerpunkt Neonatologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Nephrologie","Pädiatrie"
"Pädiatrie/Schwerpunkt Perinatalmedizin","Pädiatrie"
"Pädiatrie/Schwerpunkt Rheumatologie","Pädiatrie"
"Pädiatrie/ohne Differenzierung nach Schwerpunkten (II)","Pädiatrie"
"Pädiatrie/ohne Differenzierung nach Schwerpunkten (III)","Pädiatrie"
"Pädiatrie/ohne Differenzierung nach Schwerpunkten (IV)","Pädiatrie"
"Radiologie","Radiologie"
"Rheumatologie","Rheumatologie"
"Rheumatologie/ohne Differenzierung nach Schwerpunkten (III)","Rheumatologie"
"Schmerztherapie","Schmerztherapie"
"Schmerztherapie/Tagesklinik","Schmerztherapie"
